Estimate; Total: 0.0
Estimate; Total: 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0
Males; Estimate; Percent high school graduate or higher: 0.0
Percent; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.0
Percent Females; Margin of Error; Population 25 years and over: 0.0
Percent; Margin of Error; Black alone: 0.0
Percent Females; Estimate; Two or more races: 0.0
Percent Females; Estimate; Population 45 to 64 years: 0.0
Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.0
Percent; Estimate; Population 45 to 64 years: 0.0
Percent; Margin of Error; American Indian or Alaska Native alone: 0.0
Percent Females; Estimate; Black alone: 0.0
Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months: 0.0
Percent Males; Margin of Error; Population 18 to 24 years: 0.0
Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.0
Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0
Percent Females; Margin of Error; American Indian or Alaska Native alone: 0.0
Percent Males; Margin of Error; American Indian or Alaska Native alone: 0.0
Percent; Margin of Error; Population 65 years and over: 0.0
Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Percent; Estimate; Population 25 years and over: 0.0
Percent; Margin of Error; Population 25 years and over - Associate's degree: 0.0
Percent; Estimate; Population 65 years and over: 0.0
Percent Males; Margin of Error; Population 25 years and over: 0.0
Percent; Margin of Error; Population 25 years and over - Some college, no degree: 0.0
Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.0
Percent; Margin of Error; Population 25 years and over: 0.0
Percent; Estimate; American Indian or Alaska Native alone: 0.0
Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months: 0.0
Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 0.0
Percent Females; Margin of Error; Population 45 to 64 years: 0.0
Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent Males; Margin of Error; White alone, not Hispanic or Latino: 0.0
Total; Margin of Error; Percent high school graduate or higher: 0.0
Percent Females; Margin of Error; White alone, not Hispanic or Latino: 0.0
Males; Estimate; Percent bachelor's degree or higher: 0.0
Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.0
Total; Estimate; Percent high school graduate or higher: 0.0
Percent Females; Estimate; Population 25 years and over: 0.0
Percent Males; Estimate; Some other race alone: 0.0
Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Percent Males; Margin of Error; Population 65 years and over: 0.0
Percent; Margin of Error; Population 18 to 24 years: 0.0
Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent Females; Margin of Error; Population 65 years and over: 0.0
Estimate; Total: 0.0
Percent Males; Estimate; Asian alone: 0.0
Percent Females; Margin of Error; Black alone: 0.0
Percent Females; Margin of Error; Some other race alone: 0.0
Percent Males; Estimate; Population 25 years and over: 0.0
Percent Males; Margin of Error; Population 45 to 64 years: 0.0
Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.0
Percent Males; Estimate; Population 35 to 44 years: 0.0
Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Percent Females; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0
Percent; Estimate; Asian alone: 0.0
Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 0.0
Percent; Margin of Error; Some other race alone: 0.0
Total; Margin of Error; Hispanic or Latino origin (of any race): 0.0
Percent; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.0
Percent Males; Margin of Error; Some other race alone: 0.0
Males; Margin of Error; Percent bachelor's degree or higher: 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 0.0
Percent Males; Estimate; White alone, not Hispanic or Latino: 0.0
Percent Males; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.0
Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 0.0
Mean income (dollars); Estimate; PERCENT ALLOCATED - Individual income in the past 12 months: 0.0
Percent Males; Margin of Error; Two or more races: 0.0
Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Percent Females; Margin of Error; Hispanic or Latino Origin: 0.0
Percent Females; Estimate; Population 25 to 34 years: 0.0
Percent Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.0
Percent Males; Margin of Error; Hispanic or Latino Origin: 0.0
Percent Males; Estimate; Population 25 to 34 years: 0.0
Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months: 0.0
Percent Females; Margin of Error; Population 25 to 34 years: 0.0
Percent; Margin of Error; Population 35 to 44 years: 0.0
Percent Females; Estimate; Population 18 to 24 years: 0.0
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 0.0
Females; Margin of Error; Percent high school graduate or higher: 0.0
Percent Males; Estimate; Population 65 years and over: 0.0
Percent Females; Estimate; Asian alone: 0.0
Total; Estimate; Percent bachelor's degree or higher: 0.0
Percent Males; Margin of Error; Population 35 to 44 years: 0.0
Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Total; Margin of Error; White alone, not Hispanic or Latino_data_./data/income.csv: 0.0
Percent Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.0
Percent; Margin of Error; Asian alone: 0.0
Percent; Margin of Error; White alone, not Hispanic or Latino: 0.0
Females; Estimate; Percent bachelor's degree or higher: 0.0
Percent; Estimate; Population 25 to 34 years: 0.0
Females; Estimate; Percent high school graduate or higher: 0.0
Percent Males; Margin of Error; Asian alone: 0.0
Percent; Margin of Error; Two or more races: 0.0
Percent Males; Estimate; Two or more races: 0.0
Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 0.0
Percent Males; Estimate; Hispanic or Latino Origin: 0.0
Percent Females; Margin of Error; Population 18 to 24 years: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Percent; Estimate; Black alone: 0.0
Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.0
Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.0
Percent Females; Margin of Error; Population 35 to 44 years: 0.0
Percent Males; Estimate; Black alone: 0.0
Total; Margin of Error; All households - With Social Security income: 0.0
Percent; Estimate; Hispanic or Latino Origin: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Percent; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.0
Percent Males; Margin of Error; Population 25 to 34 years: 0.0
Percent Males; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.0
Percent Females; Estimate; American Indian or Alaska Native alone: 0.0
Percent; Estimate; Some other race alone: 0.0
Percent; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Percent; Margin of Error; Population 25 to 34 years: 0.0
Percent Females; Margin of Error; Asian alone: 0.0
Females; Margin of Error; Percent bachelor's degree or higher: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 0.0
Percent; Estimate; Population 35 to 44 years: 0.0
Percent Males; Estimate; American Indian or Alaska Native alone: 0.0
Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0
Percent Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Percent Females; Estimate; Population 35 to 44 years: 0.0
Percent Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.0
Percent; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Percent Males; Margin of Error; Population 25 years and over - Associate's degree: 0.0
Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0
Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent Females; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.0
Percent Females; Estimate; Hispanic or Latino Origin: 0.0
Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Percent; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 0.0
Percent Females; Margin of Error; Population 25 years and over - Associate's degree: 0.0
Percent; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.0
Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0
Total; Margin of Error; All households - With cash public assistance income: 0.0
Percent Males; Estimate; Population 45 to 64 years: 0.0
Percent; Estimate; White alone, not Hispanic or Latino: 0.0
Percent; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.0
Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months: 0.0
Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Percent; Estimate; Population 18 to 24 years: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 0.0
Percent Females; Margin of Error; Two or more races: 0.0
Total; Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.0
Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 0.0
Percent; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 0.0
Mean income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months: 0.0
Percent Females; Estimate; Some other race alone: 0.0
Percent; Estimate; Population 18 to 24 years - Less than high school graduate: 0.0
Percent Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.0
Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent Females; Estimate; White alone, not Hispanic or Latino: 0.0
Percent Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 0.0
Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0
Percent; Margin of Error; Population 45 to 64 years: 0.0
Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 0.0
Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.0
Males; Margin of Error; Percent high school graduate or higher: 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent Males; Margin of Error; Black alone: 0.0
Percent Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 0.0
Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Percent Males; Estimate; Population 18 to 24 years: 0.0
Mean income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months: 0.0
Percent; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.417510187585
Percent Females; Margin of Error; Percent high school graduate or higher: 0.368790986396
Percent Females; Margin of Error; Population 25 years and over - Less than 9th grade: 0.277135207176
Percent Males; Margin of Error; Population 25 years and over - Less than 9th grade: 0.259493718769
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.257873280136
Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.255828126857
Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.240333339959
Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree: 0.238218694609
Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.232350412524
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.23145040493
Percent; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.201405668559
Percent Females; Margin of Error; Population 25 years and over - Some college, no degree: 0.197303818897
Percent Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.177978811886
Percent Females; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.17529013888
Percent; Margin of Error; Percent bachelor's degree or higher: 0.169944908709
Percent Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.16267544788
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 0.157733477911
Percent; Margin of Error; Percent high school graduate or higher: 0.148477080557
Percent Females; Estimate; Population 25 years and over - Graduate or professional degree: 0.144655445219
Percent Females; Estimate; Percent bachelor's degree or higher: 0.139657704175
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 0.130304027834
Percent Males; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.127948732203
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.125655683769
Percent Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.123720410041
Percent Females; Margin of Error; Population 65 years and over - High school graduate or higher: 0.121396567819
Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.121390197369
Total; Margin of Error; All households - With retirement income: 0.11644638225
Percent Females; Estimate; Population 25 years and over - Less than 9th grade: 0.114902741816
Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.112025071823
Percent Males; Margin of Error; Percent high school graduate or higher: 0.111614257674
Percent Males; Margin of Error; Population 65 years and over - High school graduate or higher: 0.111407649547
Percent; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.111156826277
Percent; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.110979239265
Percent Females; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.109852025157
Percent Females; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.107139874349
Percent Males; Estimate; Percent bachelor's degree or higher: 0.105165413673
Percent; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.103072684772
Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.0997378927888
Total; Estimate; All households - With cash public assistance income: 0.0971316049892
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 0.0954244713149
Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.093382813583
Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.090560499949
Percent; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.0902255201269
Percent Females; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.0881404215475
Total; Estimate; All households - With Social Security income: 0.0868353838437
Percent Females; Estimate; Percent high school graduate or higher: 0.0860910374489
Percent; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.0855089633897
Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months: 0.0836689876987
Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0815193922569
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 0.0802362305405
Percent; Margin of Error; Population 65 years and over - High school graduate or higher: 0.0799188998504
Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.0795245332218
Percent Males; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.0790072104422
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 0.0780406300701
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 0.0769692052943
Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.0760668184183
Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.075053225602
Percent Females; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.0731856938198
Percent Males; Estimate; Population 25 years and over - Bachelor's degree: 0.0729266744234
Percent Females; Estimate; Population 25 years and over - Bachelor's degree: 0.0719243503818
Total; Estimate; All households - With interest, dividends, or net rental income: 0.0716150837153
Percent; Estimate; Population 25 years and over - Graduate or professional degree: 0.0696107894771
Percent Females; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.0688688556451
Percent Females; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.0688071089361
Percent Males; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.0681956583165
Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.068034173426
Percent Females; Estimate; Population 45 to 64 years - High school graduate or higher: 0.0666304163847
Percent Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.0645650937252
Percent; Estimate; Percent bachelor's degree or higher: 0.059900660137
Percent Males; Margin of Error; Percent bachelor's degree or higher: 0.058119225268
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 0.0576235366828
Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months: 0.0570190475513
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0556088206107
